Generation Date,Video Type,Mage Prompt,Total Generated,Valid (Passed),Rejected,Success Rate,Time Spent (Mins),Notes / Rejection Reasons
2026/05/29,Fall,,15,5,10,33.3%,210,
2026/05/30,Fall,,26,10,16,38.5%,364,
2026/05/31,Fall,,9,4,5,44.4%,126,
2026/06/01,Fall,,9,4,5,44.4%,126,
2026/06/04,Fall,,6,2,4,33.3%,84,
2026/06/08,Fall,,6,3,3,50.0%,84,
2026/06/09,Fall,,18,8,10,44.4%,252,
2026/06/23,Fall,,15,10,5,66.7%,210,
2026/06/24,Fall,,9,5,4,55.6%,126,
2026/06/26,Fall,,7,4,3,57.1%,98,
2026/06/28,Fall,,15,9,6,60.0%,210,
2026/06/29,Fall,,68,38,30,55.9%,952,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
Total,,,203,102,101,50.2%,"2,842",
