Generation Date,Video Type,Mage Prompt,Total Generated,Valid (Passed),Rejected,Success Rate,Time Spent (Mins),Notes / Rejection Reasons
2026/06/10,Non-Fall,,18,12,6,66.7%,252,
2026/06/12,Non-Fall,,7,6,1,85.7%,98,
2026/06/13,Non-Fall,,19,11,8,57.9%,266,
2026/06/14,Non-Fall,,20,17,3,85.0%,280,
2026/06/15,Non-Fall,,11,11,0,100.0%,154,
2026/06/16,Non-Fall,,17,15,2,88.2%,238,
2026/06/17,Non-Fall,,13,12,1,92.3%,182,
2026/06/19,Non-Fall,,8,7,1,87.5%,112,
2026/06/21,Non-Fall,,19,15,4,78.9%,266,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
,,,,,0,,,
Total,,,132,106,26,80.3%,"1,848",
,,,,,,,,
